# Constructed from biom file
#OTU ID	GEN-DONOR	GL1-17	GL1-37	GL2-17	GL2-23	GL2-40	GL3-deep	GL3-mid	GL3-shallow	GL4-18	GL4-25	GL4-40	MOCK-EVEN	MOCK-STAG	tr-blk
D_0__Archaea;D_1__Altiarchaeota;D_2__Altiarchaeia;D_3__uncultured_archaeon	0.0	0.0	0.0	0.0	0.0	0.00015144631228229593	0.00037766387914755866	0.0	0.0	0.0	0.00012074013704005555	0.0011381515080507482	0.0	0.0	0.0
D_0__Archaea;D_1__Crenarchaeota;D_2__Bathyarchaeia;D_3__uncultured_methanogenic_archaeon	0.0	0.0	0.00015892187400673829	0.0	0.0	0.0	0.000674399784192069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Crenarchaeota;D_2__Bathyarchaeia;__	0.0	0.0	0.00022249062360943362	0.0	0.0	0.0	0.0002158079309414621	0.0	0.0	0.0	0.0002414802740801111	0.00046865062096207276	0.0	0.0	0.0
D_0__Archaea;D_1__Diapherotrites;D_2__Iainarchaeia;D_3__Iainarchaeales	0.0	0.0	0.0014302968660606446	0.0	0.0001317436269020486	0.00030289262456459186	0.0	0.0	0.0	0.0	0.0001811102055600833	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanomicrobia;D_3__Methanomicrobiales	0.0	0.0	0.0014620812408619923	0.0	0.0	0.0	0.0	0.00039938095951275523	0.0007128430557205655	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata;D_3__Marine_Group_II	0.003551218385494861	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia;D_3__Candidatus_Amesbacteria_bacterium_GW2011_GWC1_47_15	0.0	0.0	0.0007310406204309962	0.0	0.0	0.0009465394517643495	0.0	0.0	0.0	0.0	0.0	0.000736450975797543	0.0	0.0	0.0
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia;D_3__Candidatus_Diapherotrites_archaeon_ADurb.Bin253	0.0	0.0	0.00610259996185875	0.00033471402870172796	0.0011198208286674132	0.006209298803574133	0.0002158079309414621	0.0	0.0	0.0007830853563038371	0.004346644933441999	0.006092458072506946	0.0	0.0	0.0
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia;D_3__Candidatus_Pacearchaeota_archaeon_RBG_19FT_COMBO_34_9	0.0	0.0	0.0034009281037441995	0.0	0.0007245899479612674	0.002158109950022717	0.0008902077151335311	0.0	0.0	0.0005220569042025581	0.0016601768843007637	0.0017741773507849899	0.0	0.0	0.0
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia;D_3__Candidatus_Staskawiczbacteria_bacterium_RIFCSPHIGHO2_01_FULL_34_27	0.0	0.00034190956492007865	0.009726018689212383	0.0	0.0010210131084908767	0.009730425564137514	0.0035878068519018076	0.0	0.0	0.00042417123466457845	0.004920160584382263	0.00833528604425401	0.0	0.0	0.0
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia;D_3__Candidatus_Staskawiczbacteria_bacterium_RIFOXYA2_FULL_32_7	0.0	0.0	0.0040683999745725	0.0	0.0005599104143337066	0.002347417840375587	0.0014297275424871865	0.0	0.0	0.0	0.0016903619185607776	0.0006360258427342416	0.0	0.0	0.0
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia;D_3__archaeon_GW2011_AR17	0.0	0.0	0.00031784374801347657	0.0	0.0	0.0001893078903528699	0.0	0.0	0.0	0.0	0.00033203537686015273	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia;D_3__uncultured_archaeon	0.0	0.0	0.004513381221791368	0.00033471402870172796	0.0013503721757459983	0.003558988338633954	0.0	0.0	0.0	0.00022839989558861917	0.0019318421926408887	0.0035818297459244133	0.0	0.0	0.0
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia;D_3__uncultured_euryarchaeote	0.0	0.0	0.002860593732121289	0.0	0.0	0.0012494320763289414	0.0012139196115457244	0.0	0.0	0.0004894283476898982	0.0035618340426816384	0.0021089277943293276	0.0	0.0	0.0
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia;__	0.0	0.0	0.0055940499650371876	0.0	0.0	0.004013327275480842	0.00018883193957377933	0.0	0.0	0.00042417123466457845	0.003229798665821486	0.008937836842633816	0.0	0.0	0.0
D_0__Archaea;__;__;__	0.0	0.0	0.0005085499968215625	0.0	0.0	0.00022716946842344388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Subgroup_13	0.0	0.0	0.00012713749920539063	0.0	0.0	0.0	0.0002697599136768276	0.0	0.0	0.0	0.0	0.0003682254878987715	0.0	0.0	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Aminicenantia;D_3__Aminicenantales	0.0	0.0003988944924067584	0.007119699955501876	0.0	0.001086884921941901	0.0063228835377858545	0.007661181548421905	0.00019969047975637762	0.0	0.0	0.0027770231519212776	0.008569611354735045	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia;D_3__Microtrichales	0.03995842476036494	0.000769296521070177	0.0002860593732121289	0.006945316095560855	0.0013174362690204862	0.008859609268514312	0.010682492581602374	0.004642803654335779	0.00023761435190685517	0.004404855129209084	0.000784810890760361	0.000870351153215278	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Actinomycetales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013126959247648904	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Corynebacteriales	0.0	0.0	0.0	0.0009623028325174679	0.0	0.0	0.0013218235770164554	0.0012480654984773601	0.0	0.0019903419472722525	0.00033203537686015273	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Frankiales	0.040073911537129	0.004957688691341141	0.018816349882397814	0.12802811597841093	0.05217047625321125	0.13876268362865365	0.1415969786889668	0.10323997803404723	0.035285731258167995	0.12796919864265205	0.07226297201847325	0.10340441201084591	0.0	0.0	0.005286110744020087
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales	0.027226007622127266	0.004672764053907741	0.0073104062043099615	0.020082841722103676	0.009189117976417891	0.014879600181735574	0.00909090909090909	0.008586690629524238	0.001782107639301414	0.017652049073348997	0.005644601406622597	0.014427744116760954	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__PeM15	0.005832082226585056	0.0	0.0014302968660606446	0.001004142086105184	0.0018444107766286805	0.0	0.002724575128135959	0.0026458988567720034	0.0	0.0020882276168102325	0.0021431374324609857	0.0028788538144813042	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Propionibacteriales	0.0	0.0	0.0	0.0017154093970963558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004898119122257054	0.0004049539364897243	0.01920620236993965
D_0__Bacteria;D_1__Actinobacteria;D_2__Nitriliruptoria;D_3__Nitriliruptorales	0.0007795357431574085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia;D_3__Solirubrobacterales	0.0006640489663933479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__WCHB1-81;D_3__uncultured_bacterium	0.0	0.0013106533321936347	0.008136799949145	0.0	0.0013503721757459983	0.0054899288202332275	0.012435932020501753	0.0002995357196345664	0.0	0.0006199425737405377	0.0024449877750611247	0.004251330633013088	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__WCHB1-81;D_3__uncultured_eubacterium_WCHB1-81	0.0	0.0	0.00019070624880808594	0.0	0.0	7.572315614114796e-05	0.0002158079309414621	0.0	0.0	0.0	0.0002414802740801111	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__WCHB1-81;__	0.0	0.0003988944924067584	0.0032420062297374612	0.0	0.0006916540412357553	0.0030289262456459185	0.004531966549770704	0.0	0.0	0.0	0.0006037006852002777	0.0014394269072406521	0.0	0.0	0.0
D_0__Bacteria;D_1__Armatimonadetes;D_2__Fimbriimonadia;D_3__Fimbriimonadales	0.0	0.0	0.0022884749856970314	0.001213338354043764	0.0023384493775113627	0.0005300620929880358	0.0	0.0	0.00019801195992237932	0.015368050117462803	0.007002927948323221	0.015264620225621799	0.0	0.0	0.0
D_0__Bacteria;D_1__Atribacteria;D_2__JS1;__	0.0	0.0003988944924067584	0.003782340601360371	0.0	0.0015479876160990713	0.002347417840375587	0.010439708659293228	0.0	0.0	0.0	0.0006640707537203055	0.006159408161215814	0.0	0.0	0.0
D_0__Bacteria;D_1__BRC1;D_2__uncultured_organism;D_3__uncultured_organism	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009707762862785793	0.0	0.0	0.0
